iter	Passed	Remaining
0	154	308698
1	167	167565
2	178	118818
3	190	95044
4	203	81037
5	217	72372
6	231	66025
7	244	60993
8	259	57449
9	271	53986
10	284	51381
11	298	49509
12	311	47673
13	325	46116
14	336	44530
15	354	43902
16	367	42901
17	384	42296
18	398	41573
19	414	41078
20	431	40650
21	448	40360
22	465	39981
23	482	39701
24	498	39370
25	515	39125
26	531	38823
27	548	38642
28	563	38331
29	582	38256
30	602	38275
31	618	38061
32	632	37713
33	648	37492
34	662	37211
35	677	36955
36	692	36742
37	712	36764
38	726	36520
39	742	36398
40	758	36238
41	775	36163
42	791	36023
43	808	35929
44	824	35832
45	841	35737
46	855	35557
47	872	35463
48	889	35418
49	905	35327
50	920	35177
51	934	34995
52	946	34786
53	961	34641
54	975	34509
55	989	34346
56	1003	34214
57	1018	34108
58	1033	33988
59	1048	33901
60	1061	33734
61	1074	33584
62	1087	33427
63	1101	33319
64	1116	33234
65	1131	33162
66	1145	33035
67	1158	32924
68	1172	32799
69	1185	32684
70	1200	32606
71	1215	32554
72	1230	32483
73	1244	32395
74	1257	32266
75	1268	32122
76	1281	31993
77	1296	31951
78	1310	31874
79	1324	31784
80	1338	31722
81	1351	31604
82	1364	31524
83	1380	31482
84	1396	31452
85	1411	31414
86	1426	31361
87	1441	31315
88	1453	31204
89	1463	31065
90	1477	30986
91	1492	30961
92	1508	30922
93	1522	30870
94	1537	30838
95	1553	30807
96	1567	30759
97	1582	30712
98	1594	30622
99	1609	30575
100	1625	30569
101	1643	30573
102	1658	30553
103	1674	30528
104	1690	30516
105	1707	30517
106	1725	30522
107	1740	30487
108	1759	30522
109	1775	30501
110	1793	30525
111	1812	30546
112	1830	30571
113	1848	30578
114	1863	30548
115	1877	30495
116	1891	30444
117	1905	30398
118	1919	30346
119	1935	30329
120	1951	30312
121	1970	30334
122	1983	30269
123	2000	30260
124	2014	30220
125	2033	30237
126	2049	30224
127	2067	30231
128	2082	30209
129	2097	30175
130	2113	30158
131	2129	30129
132	2143	30084
133	2156	30032
134	2169	29965
135	2181	29894
136	2195	29859
137	2212	29853
138	2227	29822
139	2241	29777
140	2253	29708
141	2266	29659
142	2279	29604
143	2294	29569
144	2309	29543
145	2324	29521
146	2339	29489
147	2352	29436
148	2365	29392
149	2378	29329
150	2392	29301
151	2406	29258
152	2422	29239
153	2435	29190
154	2446	29126
155	2459	29074
156	2474	29052
157	2489	29022
